age,arab,children_0_1,children_0_17,children_2_4,children_5_9,children_10_14,children_15_17,highest_cert,lf_char,marital,schooling,week_hours,yeshiva
18,0,0,0,0,0,0,0,1,6,4,12,0,0
17,0,0,1,0,0,0,1,1,6,4,10,0,0
15,0,0,1,0,0,0,1,1,6,4,9,0,0
15,0,0,1,0,0,0,1,1,6,4,9,0,0
67,1,0,0,0,0,0,0,1,6,4,12,0,0
83,0,0,0,0,0,0,0,1,6,3,8,0,0
18,0,0,0,0,0,0,0,2,6,4,12,0,0
26,0,0,1,0,0,1,0,3,6,4,12,0,0
20,0,0,1,0,0,1,0,3,6,4,12,0,0
78,0,0,0,0,0,0,0,,6,1,12,0,0
22,0,0,0,0,0,0,0,3,6,4,12,0,0
15,0,0,2,0,0,1,1,1,6,4,11,0,0
42,0,0,3,0,1,1,1,5,6,1,16,0,0
16,0,0,3,0,1,1,1,1,6,4,11,0,0
19,0,0,1,0,0,0,1,3,6,4,12,0,0
58,0,0,0,0,0,0,0,6,5,1,18,0,0
21,0,0,1,0,0,0,1,3,6,4,12,0,0
67,0,0,0,0,0,0,0,4,6,1,14,0,0
19,0,0,3,0,2,1,0,3,6,4,12,0,0
20,0,0,1,0,0,0,1,3,6,4,12,0,0
16,0,0,1,0,0,0,1,1,6,4,10,0,0
77,0,0,2,0,0,2,0,1,6,1,10,0,0
83,0,0,0,0,0,0,0,5,6,3,15,0,0
17,0,0,3,0,0,1,2,1,6,4,10,0,0
15,0,0,6,0,2,3,1,1,6,4,11,0,0
24,0,0,0,0,0,0,0,3,6,4,14,0,0
22,0,0,0,0,0,0,0,3,6,4,12,0,1
73,0,0,0,0,0,0,0,3,6,3,,0,0
46,0,0,0,0,0,0,0,2,6,1,12,0,0
28,0,0,2,2,0,0,0,2,6,1,14,0,0
70,0,0,0,0,0,0,0,1,6,1,9,0,0
34,0,0,2,0,1,1,0,3,6,4,10,0,0
29,0,0,2,2,0,0,0,2,6,1,14,0,1
15,0,0,2,0,0,1,1,1,6,4,9,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
64,0,0,0,0,0,0,0,5,6,1,16,0,0
18,0,0,1,0,1,0,0,1,6,4,12,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
60,0,0,0,0,0,0,0,4,6,1,16,0,0
25,0,0,0,0,0,0,0,3,6,4,13,0,0
85,0,0,0,0,0,0,0,1,6,1,10,0,0
17,0,0,1,0,0,0,1,1,6,4,10,0,0
76,0,0,0,0,0,0,0,2,6,1,12,0,0
25,0,0,1,0,1,0,0,3,6,4,12,0,0
72,0,0,0,0,0,0,0,3,6,1,12,0,0
22,0,0,1,0,0,1,0,3,6,4,14,0,0
79,0,0,0,0,0,0,0,0,6,1,0,0,0
69,0,0,0,0,0,0,0,1,6,1,10,0,0
57,0,1,3,0,0,1,1,1,5,1,8,0,0
18,0,1,3,0,0,1,1,2,6,4,12,0,0
28,0,1,3,0,0,1,1,1,6,4,8,0,0
18,0,0,2,0,0,1,1,1,6,4,12,0,0
15,0,0,2,0,0,1,1,1,6,4,10,0,0
27,0,1,3,0,2,0,0,2,5,1,12,0,0
54,0,0,1,0,0,0,1,2,6,1,12,0,0
16,0,0,1,0,0,0,1,1,6,4,10,0,0
59,0,0,0,0,0,0,0,2,6,5,12,0,0
18,0,0,1,0,0,0,1,3,6,4,12,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
47,0,0,1,0,0,0,1,3,6,1,14,0,0
20,0,0,1,0,0,0,1,3,6,4,12,0,0
16,0,0,2,0,0,1,1,2,6,4,11,0,0
72,0,0,0,0,0,0,0,2,6,1,12,0,0
17,0,0,5,0,2,2,1,1,6,4,11,0,0
79,0,0,0,0,0,0,0,4,6,1,13,0,0
25,0,0,0,0,0,0,0,4,6,4,14,0,0
59,0,0,0,0,0,0,0,1,6,1,,0,0
25,0,0,0,0,0,0,0,2,6,1,,0,0
75,0,0,0,0,0,0,0,3,6,3,12,0,0
30,0,0,4,1,2,1,0,2,6,1,14,0,1
20,0,0,2,0,1,0,1,3,6,4,12,0,0
15,0,0,2,0,1,0,1,1,6,4,10,0,0
56,0,0,0,0,0,0,0,1,6,1,10,0,0
21,0,0,0,0,0,0,0,1,6,4,9,0,0
71,0,0,0,0,0,0,0,1,6,1,10,0,0
15,0,0,2,0,0,1,1,1,6,4,10,0,0
22,0,0,0,0,0,0,0,3,6,4,14,0,1
18,0,0,0,0,0,0,0,2,6,4,12,0,0
29,0,0,1,0,1,0,0,2,6,2,12,0,0
24,0,0,1,0,0,1,0,5,6,4,16,0,0
77,0,0,0,0,0,0,0,1,6,1,10,0,0
26,0,0,0,0,0,0,0,6,6,4,16,0,0
69,0,0,0,0,0,0,0,3,6,1,12,0,0
48,0,1,13,2,3,4,3,2,6,1,12,0,0
17,0,1,13,2,3,4,3,2,6,4,13,0,1
16,0,1,13,2,3,4,3,1,6,4,12,0,0
15,0,0,4,0,1,1,2,1,6,4,10,0,0
80,0,0,0,0,0,0,0,1,6,3,6,0,0
17,0,0,1,0,0,0,1,2,6,4,13,0,1
80,0,0,0,0,0,0,0,2,6,1,11,0,0
35,0,0,6,2,1,3,0,2,6,1,14,0,1
85,0,0,0,0,0,0,0,4,6,3,12,0,0
85,0,0,0,0,0,0,0,1,6,3,6,0,0
68,0,0,0,0,0,0,0,2,6,1,13,0,0
46,0,0,5,1,3,1,0,2,6,1,15,0,1
85,0,0,0,0,0,0,0,6,6,1,15,0,0
71,0,0,0,0,0,0,0,2,6,1,12,0,0
43,0,0,0,0,0,0,0,1,5,2,11,0,0
64,0,0,9,0,2,5,2,0,6,1,0,0,0
23,0,0,9,0,2,5,2,1,6,4,9,0,0
15,0,0,9,0,2,5,2,1,6,4,10,0,0
82,0,0,0,0,0,0,0,3,6,1,14,0,0
16,0,0,3,0,0,1,2,1,6,4,10,0,0
68,0,0,0,0,0,0,0,5,6,1,16,0,0
59,0,0,0,0,0,0,0,2,5,1,12,0,0
18,0,0,0,0,0,0,0,1,6,4,12,0,0
26,0,1,2,1,0,0,0,2,6,1,12,0,0
19,0,0,0,0,0,0,0,2,6,4,13,0,1
29,0,0,0,0,0,0,0,2,6,1,12,0,0
59,0,0,0,0,0,0,0,1,6,1,11,0,0
27,0,0,0,0,0,0,0,5,6,4,16,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
40,0,1,12,2,3,4,2,2,6,1,16,0,1
17,0,1,12,2,3,4,2,2,6,4,13,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,0
20,0,0,3,0,0,2,1,2,6,4,14,0,1
18,0,0,3,0,0,2,1,2,6,4,13,0,1
17,0,0,3,0,0,2,1,1,6,4,12,0,0
20,0,0,0,0,0,0,0,4,6,4,13,0,0
19,0,0,1,0,0,1,0,3,6,4,12,0,0
18,0,0,1,0,0,1,0,3,6,4,12,0,0
48,0,0,1,0,0,1,0,4,6,1,15,0,0
20,0,0,2,0,0,1,1,3,6,4,12,0,0
25,0,0,1,0,0,0,1,3,6,4,12,0,0
17,0,0,1,0,0,0,1,1,6,4,12,0,0
57,0,0,0,0,0,0,0,3,6,1,10,0,0
75,0,0,0,0,0,0,0,3,6,2,12,0,0
31,0,1,4,1,2,0,0,2,6,1,25,0,1
18,0,0,0,0,0,0,0,1,6,4,12,0,0
32,0,0,0,0,0,0,0,3,6,1,16,0,0
20,0,0,2,0,0,2,0,3,6,4,12,0,0
21,0,0,0,0,0,0,0,4,6,4,13,0,0
20,0,0,1,0,0,0,1,3,6,4,14,0,0
72,0,0,0,0,0,0,0,6,6,1,24,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
15,0,0,2,0,1,0,1,2,6,4,10,0,0
21,0,0,3,0,1,1,1,1,6,4,11,0,0
37,0,0,3,0,1,1,1,4,5,2,12,0,0
22,0,0,3,0,1,1,1,3,6,4,11,0,0
59,0,0,1,0,0,0,1,4,6,1,14,0,0
65,0,0,0,0,0,0,0,1,6,3,10,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,0
72,0,0,0,0,0,0,0,,6,1,,0,0
39,0,0,0,0,0,0,0,3,6,4,14,0,0
